Nidoran♂, male
Nidorino, male
Nidoking, male
Hitmonlee, male
Hitmonchan, male
Tauros, male
Hitmontop, male
Volbeat, male
Mothim, male
Gallade, male
Throh, male
Sawk, male
Rufflet, male
Braviary, male
Tyrogue, male
Latios, male legend
Tornadus, male legend
Thundurus, male legend
Landorus, male legend
Bulbasaur, both
Ivysaur, both
Venusaur, both
Charmander, both
Charmeleon, both
Charizard, both
Squirtle, both
Wartortle, both
Blastoise, both
Eevee, both
Vaporeon, both
Jolteon, both
Flareon, both
Omanyte, both
Omastar, both
Kabuto, both
Kabutops, both
Aerodactyl, both
Snorlax, both
Chikorita, both
Bayleef, both
Meganium, both
Cyndaquil, both
Quilava, both
Typhlosion, both
Totodile, both
Croconaw, both
Feraligatr, both
Togetic, both
Espeon, both
Umbreon, both
Treecko, both
Grovyle, both
Sceptile, both
Torchic, both
Combusken, both
Blaziken, both
Mudkip, both
Marshtomp, both
Swampert, both
Lileep, both
Cradily, both
Anorith, both
Armaldo, both
Relicanth, both
Turtwig, both
Grotle, both
Torterra, both
Chimchar, both
Monferno, both
Infernape, both
Piplup, both
Prinplup, both
Empoleon, both
Cranidos, both
Rampardos, both
Shieldon, both
Bastiodon, both
Combee, both
Lucario, both
Togekiss, both
Leafeon, both
Glaceon, both
Snivy, both
Servine, both
Serperior, both
Tepig, both
Pignite, both
Emboar, both
Oshawott, both
Dewott, both
Samurott, both
Pansage, both
Simisage, both
Pansear, both
Simisear, both
Panpour, both
Simipour, both
Tirtouga, both
Carracosta, both
Archen, both
Archeops, both
Zorua, both
Zoroark, both
Chespin, both
Quilladin, both
Chesnaught, both
Fennekin, both
Braixen, both
Delphox, both
Froakie, both
Frogadier, both
Greninja, both
Tyrunt, both
Tyrantrum, both
Amaura, both
Aurorus, both
Sylveon, both
Rowlet, both
Dartrix, both
Decidueye, both
Litten, both
Torracat, both
Incineroar, both
Popplio, both
Brionne, both
Primarina, both
Salandit, both
Togepi, both
Munchlax, both
Riolu, both
Growlithe, both
Arcanine, both
Abra, both
Kadabra, both
Alakazam, both
Machop, both
Machoke, both
Machamp, both
Electabuzz, both
Magmar, both
Makuhita, both
Hariyama, both
Electivire, both
Magmortar, both
Timburr, both
Gurdurr, both
Conkeldurr, both
Elekid, both
Magby, both
Caterpie, both
Metapod, both
Butterfree, both
Weedle, both
Kakuna, both
Beedril, both
Pidgey, both
Pidgeotto, both
Pidgeot, both
Rattata, both
Raticate, both
Spearow, both
Fearow, both
Ekans, both
Arbok, both
Pikachu, both
Raichu, both
Sandshrew, both
Sandslash, both
Zubat, both
Golbat, both
Oddish, both
Gloom, both
Vileplume, both
Paras, both
Parasect, both
Venonat, both
Venomoth, both
Diglett, both
Dugtrio, both
Meowth, both
Persian, both
Psyduck, both
Golduck, both
Mankey, both
Primeape, both
Poliwag, both
Poliwhirl, both
Poliwrath, both
Bellsprout, both
Weepinbell, both
Victreebel, both
Tentacool, both
Tentacruel, both
Geodude, both
Graveler, both
Golem, both
Ponyta, both
Rapidash, both
Slowpoke, both
Slowbro, both
Farfetch'd, both
Doduo, both
Dodrio, both
Seel, both
Dewgong, both
Grimer, both
Muk, both
Shellder, both
Cloyster, both
Gastly, both
Haunter, both
Gengar, both
Onix, both
Drowzee, both
Hypno, both
Krabby, both
Kingler, both
Exeggcute, both
Exeggutor, both
Cubone, both
Marowak, both
Lickitung, both
Koffing, both
Weezing, both
Rhyhorn, both
Rhydon, both
Tangela, both
Horsea, both
Seadra, both
Goldeen, both
Seaking, both
Mr. Mime, both
Scyther, both
Pinsir, both
Magikarp, both
Gyarados, both
Lapras, both
Dratini, both
Dragonair, both
Dragonite, both
Sentret, both
Furret, both
Hoothoot, both
Noctowl, both
Ledyba, both
